pct,n_molecules_added,n_conformers_added,arm,seed,test_seed,macro_f1,f1_Co+2,f1_Ni+2,f1_Cu+2,f1_Zn+2
45,2515,25010,unique,1,20250701,0.70769402445725,0.7220568335588633,0.589512876202296,0.7455572392891583,0.7736491487786824
45,2515,25010,duplicate,1,20250701,0.6670262298395824,0.698469387755102,0.5126849894291755,0.719609211444522,0.7373413307295299
45,2515,25064,unique,2,20250702,0.7065572260560901,0.7107713690062544,0.606942889137738,0.7273825706086694,0.7811320754716982
45,2515,25064,duplicate,2,20250702,0.6673535792791143,0.6520385932150639,0.587663168671615,0.6879680479281078,0.7417445073016709
45,2515,25028,unique,3,20250703,0.6940094426252841,0.7030792810366449,0.5829302543298487,0.7182206510531742,0.7718075840814685
45,2515,25028,duplicate,3,20250703,0.6712918576363723,0.6823913365969441,0.5718920513198643,0.6926844683204297,0.7381995743082509
45,2515,25041,unique,4,20250704,0.7037344007985451,0.6970024304617878,0.5883554647599591,0.7550042289258528,0.7745754790465804
45,2515,25041,duplicate,4,20250704,0.680067297363194,0.6555522476927657,0.5758157389635317,0.7366385858306864,0.7522626169657923
45,2515,25029,unique,5,20250705,0.7131847885980308,0.7141242937853107,0.5940897259225234,0.7488885701993403,0.7956365644849489
45,2515,25029,duplicate,5,20250705,0.684651236091887,0.6876872592381225,0.5626485030888643,0.7249144811858609,0.7633547008547008
45,2515,25045,unique,6,20250706,0.7156266177199309,0.7132847918670147,0.6007570022710068,0.7484049930651873,0.8000596836765145
45,2515,25045,duplicate,6,20250706,0.6859192431562708,0.6758162380814794,0.5716750539180445,0.7296854033099747,0.7665002773155851
45,2515,25046,unique,7,20250707,0.7101135485517218,0.7006296508299943,0.5884151001069846,0.75,0.8014094432699084
45,2515,25046,duplicate,7,20250707,0.6512738062486942,0.6858846918489065,0.4393999210422424,0.7171646977067407,0.7626459143968871
45,2515,25012,unique,8,20250708,0.7110407385260871,0.6932307692307692,0.5928841309823678,0.7549412577747063,0.8031067961165048
45,2515,25012,duplicate,8,20250708,0.6739530170750934,0.6719883889695211,0.5295717199184229,0.7220492499292386,0.7722027094831911
45,2515,25008,unique,9,20250709,0.6995985770026969,0.702680412371134,0.5950341222593292,0.7085119412124924,0.7921678321678322
45,2515,25008,duplicate,9,20250709,0.6599543440930391,0.676984126984127,0.5219932328514303,0.684119767988713,0.756720248547886
50,2794,27798,unique,0,20250722,0.7127442322724168,0.7079442608820572,0.6154527995272566,0.7394094993581515,0.7881703693222017
50,2794,27798,duplicate,0,20250722,0.685283917291836,0.6731722428748451,0.5957680681505908,0.7111574556830031,0.761037902458905
50,2794,27787,unique,1,20250701,0.7058749344233517,0.7160360845563485,0.591501240694789,0.7416261292564281,0.7743362831858407
50,2794,27787,duplicate,1,20250701,0.6647309345129417,0.6921210573362279,0.5043050430504306,0.7234938913074006,0.7390037463577078
50,2794,27841,unique,2,20250702,0.7076257429659443,0.7036057357650007,0.6137595552466991,0.7308807815600672,0.7822568992920098
50,2794,27841,duplicate,2,20250702,0.6683467494593106,0.6541154504434418,0.5851651883275485,0.6943659631045371,0.7397403959617149
50,2794,27809,unique,3,20250703,0.695144301337377,0.7061111111111111,0.5825515947467167,0.7176001182207773,0.774314381270903
50,2794,27809,duplicate,3,20250703,0.6721618497537627,0.6858485026423957,0.5699389244748995,0.6899383983572895,0.7429215735404661
50,2794,27818,unique,4,20250704,0.7083622780219702,0.7019204760616716,0.600896860986547,0.7543262411347518,0.7763055339049104
50,2794,27818,duplicate,4,20250704,0.6747374023070662,0.6471116432205927,0.565330414557395,0.7346602608098833,0.7518472906403941
50,2794,27803,unique,5,20250705,0.7138165807689518,0.7098519362186788,0.5964698721850273,0.754835039817975,0.7941094748541262
50,2794,27803,duplicate,5,20250705,0.6876855756092138,0.6924297043979812,0.5651013035966703,0.7258566978193146,0.7673545966228893
50,2794,27817,unique,6,20250706,0.7190361611796223,0.7167567567567568,0.6004339739615623,0.754863813229572,0.8040901007705987
50,2794,27817,duplicate,6,20250706,0.6888877359152118,0.683082271147161,0.5772159172532683,0.7275422472576342,0.7677105080027836
50,2794,27822,unique,7,20250707,0.7112587862965731,0.7057163020465773,0.5878722419379725,0.7471973094170403,0.8042492917847025
50,2794,27822,duplicate,7,20250707,0.6530053888439226,0.6863625031164298,0.44079718640093785,0.7212840195394278,0.763577846318895
50,2794,27788,unique,8,20250708,0.7114128894495875,0.6974124809741248,0.5927573062261754,0.7538759689922481,0.8016058016058016
50,2794,27788,duplicate,8,20250708,0.6739298605142149,0.6679445591271012,0.5367326400536733,0.7198526285957205,0.7711896142803645
50,2794,27789,unique,9,20250709,0.6977047762468473,0.7054347826086956,0.587310999110584,0.7076876329383166,0.7903856903297932
50,2794,27789,duplicate,9,20250709,0.6629169589527969,0.6802557953637091,0.5234159779614325,0.6879746835443038,0.7600213789417424
55,3073,30578,unique,0,20250722,0.7165322130177417,0.7086814898739555,0.6186123182976173,0.7440467702837588,0.7947882736156352
55,3073,30578,duplicate,0,20250722,0.6882216255680444,0.6729813664596274,0.5967475192943771,0.7196357761785872,0.7635218403395865
55,3073,30565,unique,1,20250701,0.7066254047081204,0.7167953154112323,0.5853125,0.7464340119097078,0.7779597915115414
55,3073,30565,duplicate,1,20250701,0.6606851977674943,0.6915505560526652,0.49885098108538095,0.7183157894736842,0.7340234644582471
55,3073,30625,unique,2,20250702,0.7125674480635071,0.7132827857343443,0.6178817056396149,0.7322437757751642,0.7868615251049053
55,3073,30625,duplicate,2,20250702,0.6656412912328518,0.6520385932150639,0.5806286080821039,0.6884755895051478,0.7414223741290916
55,3073,30578,unique,3,20250703,0.6993046830216804,0.7099543126124879,0.5848522941546197,0.7230769230769231,0.7793352022426913
55,3073,30578,duplicate,3,20250703,0.6713631499318118,0.6840247131509267,0.5662578522285372,0.6930568645931511,0.7421131697546319
55,3073,30598,unique,4,20250704,0.7073641444104883,0.7035699959887686,0.5991511781062491,0.7531475456217287,0.7735878579252073
55,3073,30598,duplicate,4,20250704,0.6787092382240016,0.6506962120077856,0.5721298063812381,0.737741046831956,0.7542698876750269
55,3073,30578,unique,5,20250705,0.7209531484303426,0.7159412097230073,0.6059678653404744,0.7580530722293174,0.8038504464285714
55,3073,30578,duplicate,5,20250705,0.6868768738912976,0.688882505027291,0.5620506408252579,0.7269099201824402,0.7696644295302013
55,3073,30595,unique,6,20250706,0.7171732219664942,0.7141896435776731,0.6039496190328099,0.7482768127929418,0.8022768124625524
55,3073,30595,duplicate,6,20250706,0.6845709513641101,0.6756951447918167,0.5718826759138853,0.722495894909688,0.7682100898410504
55,3073,30605,unique,7,20250707,0.7147528491966597,0.7101879327398615,0.586916461916462,0.7561659192825112,0.8057410828478044
55,3073,30605,duplicate,7,20250707,0.6526668855614144,0.685164354455693,0.4470082127493156,0.7176486975901937,0.7608462774504553
55,3073,30555,unique,8,20250708,0.7121333249383437,0.6935702454449632,0.5930457179652285,0.7553778268063982,0.8065395095367848
55,3073,30555,duplicate,8,20250708,0.6719229717681993,0.6673544583640383,0.5313961255845023,0.7177601809954751,0.7711811221287812
55,3073,30570,unique,9,20250709,0.7006685967397728,0.7060733125929933,0.5903436018957346,0.7088298197372441,0.797427652733119
55,3073,30570,duplicate,9,20250709,0.6618609606378805,0.6775304716481187,0.5227027859011851,0.6880806172256337,0.7591299677765844
60,3353,33371,unique,0,20250722,0.7200048309951319,0.7128628343767786,0.6222551928783383,0.7473026689381034,0.7975986277873071
60,3353,33371,duplicate,0,20250722,0.6865200293839219,0.6764979819931698,0.5979692645444566,0.7128975265017667,0.7587153444962943
60,3353,33358,unique,1,20250701,0.7072611667546156,0.7175429184549357,0.5928890257041711,0.7439126784214946,0.7747000444378611
60,3353,33358,duplicate,1,20250701,0.6641197358043988,0.6971226653205452,0.5006257822277848,0.7214624616243371,0.7372680340449281
60,3353,33417,unique,2,20250702,0.7142573945106282,0.7154221912072575,0.6195304903458814,0.7319354352089305,0.7901414612804434
60,3353,33417,duplicate,2,20250702,0.6667845227415855,0.6565406075635462,0.5811056319750844,0.6881327800829875,0.7413590713447241
60,3353,33367,unique,3,20250703,0.7023807452492181,0.7103658536585366,0.5880517859928248,0.7314991908194792,0.7796061505260319
60,3353,33367,duplicate,3,20250703,0.6703163638061692,0.6863436123348018,0.5646706586826348,0.6890570797855566,0.7411941044216838
60,3353,33384,unique,4,20250704,0.7102070006080107,0.7036445863261506,0.5999409506938294,0.7580257389336728,0.7792167264783898
60,3353,33384,duplicate,4,20250704,0.6793603087565234,0.6553318419090232,0.5704504997946049,0.7411586624466767,0.7505002308757889
60,3353,33367,unique,5,20250705,0.7241651513610109,0.7183916182925103,0.608774859571884,0.7631467044649185,0.8063474231147311
60,3353,33367,duplicate,5,20250705,0.6860321172335034,0.6847311827956989,0.5620873939012889,0.727996587515996,0.76931330472103
60,3353,33387,unique,6,20250706,0.7192094239537776,0.7184466019417476,0.6037735849056604,0.7525106617141285,0.8021068472535741
60,3353,33387,duplicate,6,20250706,0.6836315555902505,0.671793383633198,0.5693409742120343,0.7294433666616923,0.7639484978540773
60,3353,33396,unique,7,20250707,0.7131311651950092,0.7065080475857243,0.588454955655827,0.7503498460677303,0.8072118114707553
60,3353,33396,duplicate,7,20250707,0.650121823349596,0.6823938415694065,0.44182852658426525,0.7154448796866256,0.7608200455580866
60,3353,33349,unique,8,20250708,0.7187789596873106,0.7000754716981132,0.6011857074186829,0.7621554231888074,0.8116992364436392
60,3353,33349,duplicate,8,20250708,0.670658595971091,0.6696687972109239,0.5292507697570988,0.7176454020560484,0.7660694148602932
60,3353,33355,unique,9,20250709,0.7021942849582274,0.7024748436225183,0.5890491610244333,0.716636197440585,0.800616937745373
60,3353,33355,duplicate,9,20250709,0.6610619028005574,0.6798262929332807,0.5154767459947115,0.6890888994157587,0.7598556728584792
65,3632,36144,unique,0,20250722,0.7176703468834854,0.7097778406678931,0.6193317422434368,0.7456127835639892,0.7959590210586227
65,3632,36144,duplicate,0,20250722,0.6869876149852023,0.6725801431683784,0.6,0.7138434321096859,0.7615268846627445
65,3632,36129,unique,1,20250701,0.7091749664235648,0.7156636326586062,0.5964057264696924,0.7444970743939816,0.7801334321719793
65,3632,36129,duplicate,1,20250701,0.6608376649560164,0.6910290572262403,0.49626733025239955,0.717670011148272,0.7383842611971536
65,3632,36184,unique,2,20250702,0.7164291774414191,0.7146029983342588,0.6192468619246861,0.7375324081134665,0.7943344413932649
65,3632,36184,duplicate,2,20250702,0.6704651557552911,0.6580865250426423,0.583063156529633,0.6983184965380811,0.742392444910808
65,3632,36149,unique,3,20250703,0.6998907608803485,0.7080555555555555,0.5883446993180409,0.7259128904531457,0.7772498981946518
65,3632,36149,duplicate,3,20250703,0.6677705136685265,0.6776567559611422,0.5653277586979244,0.6896551724137931,0.7384423676012462
65,3632,36163,unique,4,20250704,0.7093554795761388,0.7060218737646594,0.5952629226873231,0.7542647680812068,0.7818723537713659
65,3632,36163,duplicate,4,20250704,0.6774379692978936,0.6574569221628045,0.5697802197802198,0.7361590501173547,0.7463556851311953
65,3632,36146,unique,5,20250705,0.7231676054417238,0.7130094919039642,0.6007439553626782,0.7638205092136728,0.8150964652865793
65,3632,36146,duplicate,5,20250705,0.6881886727742142,0.692429248671168,0.5691564010603462,0.7273768613974799,0.7637921799678629
65,3632,36164,unique,6,20250706,0.7188922856895517,0.7158999192897498,0.604031007751938,0.7522758620689655,0.8033623536475533
65,3632,36164,duplicate,6,20250706,0.6865992175621936,0.6801867522614532,0.5753776004559704,0.7274080690784577,0.763424448452893
65,3632,36182,unique,7,20250707,0.715456437522896,0.7073446327683616,0.5932307692307692,0.7541074909495962,0.8071428571428572
65,3632,36182,duplicate,7,20250707,0.6481875615372739,0.6824668072961906,0.4395821013207175,0.7124860022396416,0.758215335292546
65,3632,36132,unique,8,20250708,0.7176767131292757,0.6988097031791473,0.6018518518518519,0.7598168447342861,0.8102284527518172
65,3632,36132,duplicate,8,20250708,0.6733231883899229,0.6712650425594364,0.5363222652958032,0.7171846175677593,0.7685208281366924
