seed,test_seed,anchor_seed,arm,anchor_type,added_type,n_added,n_conformers_added,n_train_conformers,accuracy,macro_f1,f1_Co+2,f1_Ni+2,f1_Cu+2,f1_Zn+2
1,20250701,2002,A1_short_add_trimer,short,trimer,4788,47623,55546,0.7175583482944344,0.7167870034191409,0.7119050793227569,0.5988717792346394,0.758213058419244,0.7981580966999232
1,20250701,2002,A2_trimer_add_trimer,trimer,trimer,0,0,7972,0.6695870736086176,0.6672703657299786,0.6898528070861013,0.5448557089084065,0.7035362935389524,0.7308366533864542
1,20250701,2002,A2_trimer_add_trimer,trimer,trimer,100,998,8970,0.6719569120287253,0.6696524011258818,0.6886475303853116,0.5477426459021552,0.7088540281839936,0.7333654000320667
1,20250701,2002,A2_trimer_add_trimer,trimer,trimer,200,1997,9969,0.6740394973070017,0.6709114466742583,0.6937939859245041,0.5408261287223823,0.7101314566458637,0.7388942154042826
1,20250701,2002,A2_trimer_add_trimer,trimer,trimer,350,3490,11462,0.6794973070017953,0.6771216527751461,0.6936536954818491,0.5515829264451094,0.7162468345994936,0.7470031545741325
1,20250701,2002,A2_trimer_add_trimer,trimer,trimer,500,4981,12953,0.6843806104129264,0.6820315817788165,0.6987982943532756,0.5549936788874842,0.7189261744966443,0.755408179377862
1,20250701,2002,A2_trimer_add_trimer,trimer,trimer,700,6973,14945,0.6914901256732495,0.6897215919573068,0.7006784968684759,0.5636619278237776,0.7276641550053822,0.7668817881315914
1,20250701,2002,A2_trimer_add_trimer,trimer,trimer,900,8953,16925,0.6896947935368043,0.6883671671408447,0.6922977010001299,0.561965479707666,0.7292967689383655,0.7699087189172175
1,20250701,2002,A2_trimer_add_trimer,trimer,trimer,1200,11939,19911,0.6991023339317773,0.6981571303147401,0.7015665796344648,0.5760148171014046,0.7362860625761886,0.7787610619469026
1,20250701,2002,A2_trimer_add_trimer,trimer,trimer,1600,15929,23901,0.6986714542190305,0.697468569275772,0.6993481095176011,0.572360248447205,0.7384781727260441,0.7796877464122378
1,20250701,2002,A2_trimer_add_trimer,trimer,trimer,2200,21894,29866,0.7053500897666068,0.7045164779945104,0.7003789363648243,0.578882371102192,0.7485760781122864,0.7902285263987392
1,20250701,2002,A2_trimer_add_trimer,trimer,trimer,3000,29846,37818,0.7090843806104129,0.7085070805217977,0.7065915345302057,0.5838946723821188,0.7504767093435031,0.7930654058313633
1,20250701,2002,A2_trimer_add_trimer,trimer,trimer,4000,39781,47753,0.7147576301615799,0.7143067290250285,0.7071102413568167,0.5914193449177303,0.7563002315760795,0.8023970982494875
1,20250701,2002,A2_trimer_add_trimer,trimer,trimer,4788,47623,55595,0.7189946140035907,0.7190296413253956,0.7110522832561218,0.6051437216338881,0.7584705402095523,0.8014520202020202
1,20250701,2002,A3_trimer_add_short,trimer,short,0,0,7972,0.6695870736086176,0.6672703657299786,0.6898528070861013,0.5448557089084065,0.7035362935389524,0.7308366533864542
1,20250701,2002,A3_trimer_add_short,trimer,short,100,995,8967,0.6681508078994614,0.6654639640792708,0.6861639344262295,0.5390894819466248,0.7083669626042507,0.7282354773399782
1,20250701,2002,A3_trimer_add_short,trimer,short,200,1988,9960,0.6764811490125673,0.673875155866278,0.6949960285941224,0.5524913820119085,0.7125253893026405,0.7354878235564405
1,20250701,2002,A3_trimer_add_short,trimer,short,350,3477,11449,0.6756912028725314,0.6739793529480532,0.6847090663058186,0.5518083320616511,0.7193370165745856,0.7400629968501575
1,20250701,2002,A3_trimer_add_short,trimer,short,500,4968,12940,0.6792818671454219,0.6782339145555875,0.69251849821869,0.5608624045515795,0.7149055283414976,0.7446492271105827
1,20250701,2002,A3_trimer_add_short,trimer,short,700,6955,14927,0.6825852782764812,0.6809880698175113,0.6902582319989069,0.5601092896174863,0.7225174825174825,0.7510672751361696
1,20250701,2002,A3_trimer_add_short,trimer,short,900,8937,16909,0.6871095152603232,0.6848206111351188,0.7017687074829932,0.5598894348894349,0.7256312596981238,0.7519930424699232
1,20250701,2002,A3_trimer_add_short,trimer,short,1200,11897,19869,0.6838779174147217,0.682098882966284,0.6954964880870403,0.5647951441578148,0.7203054298642534,0.7477984697560272
1,20250701,2002,A3_trimer_add_short,trimer,short,1600,15868,23840,0.680718132854578,0.678771754703412,0.6873786407766991,0.5576456310679612,0.7242904007987448,0.745772346170243
1,20250701,2002,A3_trimer_add_short,trimer,short,1676,16623,24595,0.6805745062836625,0.6781158373338868,0.6891519823788547,0.5546838947854176,0.7210518874593524,0.7475755847119224
1,20250701,2002,A4_short_add_short,short,short,0,0,7923,0.6323159784560144,0.6290598402551341,0.6322095291167457,0.5039787798408488,0.6914198303434849,0.688631221719457
1,20250701,2002,A4_short_add_short,short,short,100,995,8918,0.6338240574506284,0.6296772518053255,0.6362004694187491,0.4957916468159441,0.6939229592546239,0.6927939317319848
1,20250701,2002,A4_short_add_short,short,short,200,1988,9911,0.6350448833034111,0.6319122286980193,0.6293310705699335,0.5030883261272391,0.6981026785714286,0.6971268395234759
1,20250701,2002,A4_short_add_short,short,short,350,3477,11400,0.6359784560143626,0.634443558478598,0.632778015093265,0.522051128718792,0.695356738391846,0.6875883517104892
1,20250701,2002,A4_short_add_short,short,short,500,4968,12891,0.6350448833034111,0.6338645192282235,0.6326853851691865,0.5212514757969303,0.6927719298245614,0.6887492861222159
1,20250701,2002,A4_short_add_short,short,short,700,6955,14878,0.6379892280071813,0.635362708782942,0.6425161471496771,0.5148210720319459,0.695054945054945,0.6890586708951997
1,20250701,2002,A4_short_add_short,short,short,876,8700,16623,0.6378456014362657,0.6355381921496859,0.6390134529147982,0.5158827122785583,0.6945888966971188,0.6926677067082684
2,20250702,3003,A1_short_add_trimer,short,trimer,0,0,7936,0.6310951526032316,0.6288920092280254,0.6523258940575424,0.5099479644934191,0.6716747680070703,0.6816194103540697
2,20250702,3003,A1_short_add_trimer,short,trimer,100,998,8934,0.6522800718132855,0.6489164390600961,0.6686092715231788,0.5179990649836372,0.6928862425571921,0.7161711771763765
2,20250702,3003,A1_short_add_trimer,short,trimer,200,1995,9931,0.6621903052064632,0.6591630772527608,0.6780202235231506,0.5326772258957404,0.6963434022257552,0.729611457366397
2,20250702,3003,A1_short_add_trimer,short,trimer,350,3484,11420,0.6729622980251346,0.6705846213799427,0.6879956983465519,0.5505004549590536,0.7041457286432161,0.7396966035709491
2,20250702,3003,A1_short_add_trimer,short,trimer,500,4978,12914,0.6812208258527828,0.6796397130250492,0.6968215158924206,0.5682054326851714,0.7082806573957017,0.7452512461269029
2,20250702,3003,A1_short_add_trimer,short,trimer,700,6965,14901,0.6840215439856373,0.6821785823250218,0.6963002395528347,0.565844858689116,0.712156862745098,0.7544123683130387
2,20250702,3003,A1_short_add_trimer,short,trimer,900,8948,16884,0.693213644524237,0.6922970137344407,0.701759097623204,0.5808065940535767,0.7180999689537411,0.7685223943072416
2,20250702,3003,A1_short_add_trimer,short,trimer,1200,11939,19875,0.6985278276481149,0.6977933899400932,0.7040448538245895,0.5821027761370349,0.724801466096518,0.7802244637022304
2,20250702,3003,A1_short_add_trimer,short,trimer,1600,15912,23848,0.7054937163375224,0.7051259404083348,0.7137536578877361,0.5923865300146413,0.7311827956989247,0.7831807780320366
