molecule,metal,length,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
P|Zn+2,Zn+2,1,0.008371495971619715,-0.03293947272345258,-0.009085791137419556,-0.008413941113039194,-0.004790549285157193,0.004937637163485854,-0.011118170856853845,-0.003565673617178673,0.03576614515054349,-0.033417789962270586
M|Ni+2,Ni+2,1,0.055492673369712905,-0.018661601332267963,-0.0003870587211883973,0.0120405684609577,0.007619412603889422,-0.003977028116833121,0.0166526495502441,-0.014079337420311889,-0.01109307424521094,-0.011540144061468754
C|Co+2,Co+2,1,0.05999973147378307,0.004937584764654073,-0.004310117502443903,0.00655531936223845,-0.011007415199186233,-0.01792235831759575,0.024648103581720173,-0.001625645388250196,0.015853576489449298,0.006957631627098029
V|Ni+2,Ni+2,1,0.011326930824673363,-0.012164511796336147,0.012252209169217758,-0.010648801407571521,0.001697371318368281,0.004624397021573828,-0.004935236599841485,-0.009263255285662079,0.013099478393733762,0.0022669843789193717
N|Ni+2,Ni+2,1,-0.013316255803639978,0.015566431793167551,0.027917983117283,-0.0032973810592213633,0.013588289076844921,0.00047617553193835113,0.007828655279402099,-0.009516338737685473,-0.000536179517617198,0.0018919140228608722
K|Co+2,Co+2,1,0.05974528536399415,-0.018577565959243217,0.010131011767144555,0.0010265053796518194,0.006293420649097372,-0.015408837636917071,-0.002403515216894202,-0.010404985306763656,-0.0006771596465383634,-0.0034764810731470045
H|Co+2,Co+2,1,-0.002097449370027378,-0.030953010252513652,-0.02089442332453657,0.005358828224121312,0.017899630618888156,0.018613239641500138,0.007378649643690514,-0.010731076917633862,-0.004228689558731037,-0.004530361148721693
P|Ni+2,Ni+2,1,0.02905975381437939,-0.011055673183371872,0.0022874264101071483,-0.016846855153121374,0.006483366436148575,-0.010279018431551261,0.007579943734145206,-0.025217537196337597,-0.007166649881037652,0.010716927175143796
E|Ni+2,Ni+2,1,-0.0030269321600780406,0.003720393260945252,0.0022571374390751115,-0.0028738006231746943,-0.017870085560855224,0.00663590281893022,0.014558454519867533,-0.012736969160418344,-0.0016695072124332695,0.009557178100131108
F|Ni+2,Ni+2,1,0.03414635638835986,-0.011491203024726726,0.007133036750219209,-0.019483822246625804,0.01559411065383619,0.01140473588988693,-0.0031639352567832614,-0.01570293296559113,0.0016930189275801647,0.005076462710981973
V|Co+2,Co+2,1,0.0497613215218867,-0.02260501474372328,-0.003665387330707607,-0.00013759146601301383,0.0013978486671506942,-0.0005873847540656147,0.011989699166502145,-0.020721216989714783,0.0006601649289972408,-0.01221406958427903
N|Ni+2,Ni+2,1,-0.005977279246524841,-0.002602456054402638,0.03283962370513755,0.005876093139240387,0.017057647755459836,-0.017569334977108976,0.0081329700349514,-0.00516307324103067,0.006899790484659494,-0.009445870759378583
M|Ni+2,Ni+2,1,0.04106407680475397,-0.024957447476960208,0.0007136455117058766,-0.004963461024487832,0.0047604137308287515,0.004329763199122395,0.007085828138817136,-0.008058303191129322,-0.007199223203115418,-0.0002839483765093788
P|Co+2,Co+2,1,0.037345904756051276,-0.0072298063707178645,-0.006586292711703488,-0.008745938376232474,0.007822245682790234,0.02035439546130891,-0.003170191634342826,-0.017151241945001658,0.011503951173404074,-0.00321209046645666
P|Co+2,Co+2,1,0.005132958845985212,0.010516410581384656,0.01525352225978526,0.0053005104505038925,0.013006944242089051,0.02321853080687496,0.017086969931124914,-0.0005308861000300515,-0.013629257727517878,-0.01521970258883559
S|Co+2,Co+2,1,-0.011900649054612128,-0.00199182689392752,-0.00667261761757546,-0.012652395250471671,-0.014985172251104914,-0.006369731707659585,-0.007045901623196078,0.004671829275810839,-0.04184082728836863,0.013307682109490512
V|Zn+2,Zn+2,1,0.008057249085537406,-0.02408107321472381,-0.014686395043062789,-0.009896642584170109,-0.004076330235686905,0.004263258611237516,-0.00010048959389162126,-0.008090934302695483,0.0303063699589451,-0.032548844824219096
M|Ni+2,Ni+2,1,0.05023214924388787,-0.014015043122327396,0.004378596931587018,0.009241854688769615,0.002711021644271217,-0.011373975388525198,0.01633626595263969,-0.016867207947899768,-0.014822346905296496,-0.008107815320827468
A|Cu+2,Cu+2,1,-0.0320891157976461,0.0023127938127758905,0.0017556691727716991,-0.00851898988452664,-0.016363460865614257,0.007190790849757233,0.014231481946255068,-0.011879308828597975,0.0016455656678518002,0.002550689265801737
N|Ni+2,Ni+2,1,0.01061510946380554,-0.017428401168616443,-0.008762194795079288,-0.009916098126843992,-0.005111952619421603,-0.00031643703468944184,0.007299767996476661,-0.011649288198595524,0.0030167134758955676,-0.016366795610831375
F|Ni+2,Ni+2,1,0.040693925658603095,-0.02954183573401899,-0.00041222632801199194,-0.011951873385926522,0.009485030372983707,0.013450934196019932,0.010214557196234549,-0.00013030819084958005,-0.012401045918820238,0.006057192498035347
I|Cu+2,Cu+2,1,-0.009997939737864288,-0.004441475090922849,-0.01902273597015646,-0.003632004531299777,-0.006631177206742795,0.022453742955176596,0.017105589473310617,-0.00637591673888146,0.008750712948545613,-0.020166685381218043
E|Ni+2,Ni+2,1,0.014025937186113002,-0.0181315149085425,0.013113176082474276,-0.007822249644185882,0.008774436883104355,0.01561960957894151,0.009151240674454574,0.001312143608561479,0.0011964635995162492,0.0024432969557026947
H|Co+2,Co+2,1,0.02027962708941127,-0.013904494436960835,-0.010190971641067411,0.0022153989411062298,-0.012843657874930355,0.02130108719243946,0.02460732065065724,0.0028092436534652007,-0.00595456059394181,-0.004104302720261861
N|Zn+2,Zn+2,1,0.011780200414968633,-0.015893398026958654,0.03772077779108939,0.0037779968470400497,-0.00044792864149356855,-0.0057042317374159475,0.0020542348778922253,-0.018809786964171217,0.029583054632189174,-0.015956686654826836
