wavenumber,PC1_loading,PC2_loading
950,-0.010129903676989831,0.00887571378047661
955,-0.009460650729882957,0.00895050135023967
960,-0.008300187175756493,0.007974148965843733
965,-0.007045302549181523,0.006290378998729521
970,-0.005796030542380132,0.00517287987653631
975,-0.004723627017943185,0.005318079365713527
980,-0.004320600956867745,0.006370905009196152
985,-0.004741731524160027,0.007306999302564841
990,-0.005522356684512275,0.007216350475571496
995,-0.006354282157778335,0.0063147552743926414
1000,-0.007232212223406546,0.005448602184069509
1005,-0.008127917246519156,0.0052169039110689566
1010,-0.00894864696174626,0.0057370725656109645
1015,-0.009387607367805724,0.006614433976175076
1020,-0.00930573917430585,0.006917263752061565
1025,-0.008981527649831568,0.006053843203216108
1030,-0.008724949833380402,0.004523843407257771
1035,-0.008619063469571262,0.003228190196928928
1040,-0.008587503191244546,0.0022374179055127037
1045,-0.008355986644073176,0.0010366890036881552
1050,-0.007296992900250843,-0.0007146815336213821
1055,-0.005444876207738986,-0.0030977014269425998
1060,-0.004226993431563491,-0.005602206506038011
1065,-0.004893653294392935,-0.007537362693785086
1070,-0.007015895046857056,-0.008419232714827682
1075,-0.009271673784373545,-0.008038702805920136
1080,-0.01077908327127651,-0.006720035380008905
1085,-0.011124716994088391,-0.0051282793717460536
1090,-0.010347887574308358,-0.0033736228630597553
1095,-0.009310584776515514,-0.001357034444889299
1100,-0.008743030439263524,0.00014258786496873507
1105,-0.008235528327352887,0.00098804869155013
1110,-0.007001284129341282,0.0023780900009765234
1115,-0.004522911824214303,0.004209482034996314
1120,-0.0009443355537955198,0.0050870675347523455
1125,0.002270135250331824,0.00477534414461218
1130,0.0026091936056598475,0.003681001400103009
1135,-0.0013521761795916314,0.0017270013729226378
1140,-0.007012283371984917,-0.0007331849304115114
1145,-0.009764123973915918,-0.0022910139811825442
1150,-0.008509053806958504,-0.00231217565468733
1155,-0.005816591110622734,-0.0017463632114134708
1160,-0.0036387282472749092,-0.0015790537003630058
1165,-0.0019121246070742716,-0.0021883447200652714
1170,-0.00021360756225991662,-0.003584701073621927
1175,0.0016777088725436439,-0.005797870732348039
1180,0.00369828945842737,-0.008687922529822721
1185,0.005174898821704236,-0.011081514112317897
1190,0.00540693882238665,-0.011221062201686362
1195,0.0044954262406550136,-0.008822844687113278
1200,0.003147124971808192,-0.005438422728621505
1205,0.0020389832688206618,-0.0028459354770310735
1210,0.0015896734843455953,-0.0021136881306326677
1215,0.001950228978539567,-0.003013880338887465
1220,0.0031304916405343153,-0.004034980448684935
1225,0.004463971714857654,-0.003496980625598795
1230,0.004530114989164792,-0.0009446019369417536
1235,0.002831224122700568,0.003118048243465304
1240,0.00037173770536777316,0.00708761297813125
1245,-0.0019765062298428924,0.008375840925187538
1250,-0.004044681825929035,0.006378181416966792
1255,-0.005437611986127344,0.003156453379055509
1260,-0.005842925288245738,0.0008476887756230712
1265,-0.00559870591841927,2.0100535097176906e-05
1270,-0.005307169982661669,-0.0001543754121288943
1275,-0.005516457181180001,-0.0005810941656135504
1280,-0.0063512013945645224,-0.0009306992945923166
1285,-0.007609741135555874,-0.0002937717142498566
1290,-0.009217599759056245,0.0013634732325833966
1295,-0.011045562469849675,0.0032321146860887257
1300,-0.012411422972018676,0.004546153431843629
1305,-0.013565710733157415,0.004614254764101261
1310,-0.016534000627560434,0.00196447559483572
1315,-0.021871019448511723,-0.004083360105408325
1320,-0.027565208143759058,-0.01117716173545994
1325,-0.031765114342697735,-0.015998673785726045
1330,-0.034181140498232836,-0.016747725369398985
1335,-0.03487757915844897,-0.013424662043666583
1340,-0.03302085259824857,-0.007892919993419872
1345,-0.028625611124851465,-0.003111051242110021
1350,-0.023609889670971107,-0.00034686464057504706
1355,-0.01977111872266817,0.0011308180101102924
1360,-0.017399872234625424,0.0015931663482393163
1365,-0.015384410004193355,0.000858657145470681
1370,-0.012628682859374437,-0.000403395288807769
1375,-0.009206692542009856,-0.0014169296452026252
1380,-0.0056467593766653884,-0.002248603648579969
1385,-0.0020055783756157894,-0.003045759475847934
1390,0.0016178736770522148,-0.003655108609948199
1395,0.004419151518456768,-0.004435333171307348
1400,0.00618663238071704,-0.006043613703036791
1405,0.007593762638359223,-0.008285410439334031
1410,0.008615402320056562,-0.010253398300928451
1415,0.008714105820969001,-0.011365755303547054
1420,0.007869065579128504,-0.011610491140667308
1425,0.006386934596158255,-0.011370458972051195
